
--- onuAuthenSN ---
  gpon0/0/1/127: 58:50:4F:4E:9E:81:39:58
  gpon0/0/2/1: 48:57:54:43:9E:6E:9C:18
  gpon0/0/2/2: 48:57:54:43:5D:BD:1F:9B
  gpon0/0/2/3: 44:42:31:32:E6:DE:27:9B
  gpon0/0/2/4: 58:50:4F:4E:9E:50:4D:CA
  gpon0/0/2/5: 42:54:50:54:DD:17:D2:C1
  gpon0/0/2/6: 48:57:54:43:E6:C5:9D:2A
  gpon0/0/2/7: 48:57:54:43:03:01:5F:B0
  gpon0/0/2/8: 48:57:54:43:9E:61:E3:72
  gpon0/0/2/9: 58:50:4F:4E:9E:50:4D:D6
  gpon0/0/2/10: 48:57:54:43:9E:61:CA:D0
  gpon0/0/2/11: 48:57:54:43:04:1B:F3:10
  gpon0/0/2/12: 43:44:54:43:1D:39:F3:03
  gpon0/0/2/13: 48:57:54:43:9E:84:DF:06
  gpon0/0/2/14: 42:54:50:54:DD:36:33:3C
  gpon0/0/2/15: 58:50:4F:4E:51:E2:6C:46
  gpon0/0/2/16: 48:57:54:43:04:16:70:F0
  gpon0/0/2/17: 48:57:54:43:04:21:27:50
  gpon0/0/2/18: 48:57:54:43:E3:D4:A2:25
  gpon0/0/2/19: 48:57:54:43:00:CF:9A:0B
  gpon0/0/2/20: 48:57:54:43:91:D9:2D:7F
  gpon0/0/2/21: 44:42:31:32:E6:DE:23:15
  gpon0/0/2/22: 42:54:50:54:DD:36:6A:08
  gpon0/0/2/23: 47:50:4F:4E:00:8B:05:C8
  gpon0/0/2/24: 48:57:54:43:05:24:77:60
  gpon0/0/2/25: 48:57:54:43:E8:C2:B7:9C
  gpon0/0/2/26: 42:44:43:4D:62:F7:2B:70
  gpon0/0/3/1: 58:50:4F:4E:51:E2:6B:DA
  gpon0/0/3/2: 48:57:54:43:7B:1A:9C:7B
  gpon0/0/3/3: 48:57:54:43:10:27:BF:10
  gpon0/0/3/4: 48:57:54:43:9E:61:DC:8E
  gpon0/0/3/5: 44:30:31:31:A6:7A:D8:73
  gpon0/0/3/6: 48:57:54:43:02:18:21:10
  gpon0/0/3/7: 42:54:50:54:DD:2B:A6:45
  gpon0/0/3/8: 42:54:50:54:DD:34:6D:32
  gpon0/0/3/9: 48:57:54:43:09:09:A7:E0
  gpon0/0/3/10: 58:50:4F:4E:9E:50:4E:66
  gpon0/0/3/11: 42:54:50:54:DD:2C:DC:75
  gpon0/0/3/12: 48:57:54:43:08:09:3E:10
  gpon0/0/3/13: 58:50:4F:4E:9E:50:52:80
  gpon0/0/3/14: 48:57:54:43:A5:A4:9A:26
  gpon0/0/3/15: 48:57:54:43:9E:82:0F:54
  gpon0/0/3/16: 48:57:54:43:06:15:2C:20
  gpon0/0/3/17: 58:50:4F:4E:51:E2:6B:F2
  gpon0/0/3/18: 44:42:31:32:E6:DE:27:39
  gpon0/0/3/19: 48:57:54:43:05:26:FF:90
  gpon0/0/3/20: 58:50:4F:4E:9E:81:56:B0
  gpon0/0/3/21: 48:57:54:43:04:07:D3:70
  gpon0/0/3/22: 48:57:54:43:04:1A:5E:E0
  gpon0/0/3/23: 58:50:4F:4E:9E:50:4E:1E
  gpon0/0/3/24: 58:50:4F:4E:9E:50:41:E2
